composition,diff_tcut,dmax,m,method,source,tg,tl,visc_tcut,tg/tl,tg/visc_tcut,tg/diff_tcut
Al21(CoNi)2,,0.0,,experimental,ward,,,,,,
Al87Co3Ni10,,0.0,,experimental,ward,,,,,,
Al91Co2Ni7,,0.0,,experimental,ward,,,,,,
Al87Co5Ni8,,0.0,,experimental,ward,,,,,,
Al49Co,,0.0,,experimental,ward,,,,,,
Al49Ni,,0.0,,experimental,ward,,,,,,
Al24Co,,0.0,,experimental,ward,,,,,,
Al48CoNi,,0.0,,experimental,ward,,,,,,
Al24Ni,,0.0,,experimental,ward,,,,,,
Al47Co2Ni,,0.0,,experimental,ward,,,,,,
Al47CoNi2,,0.0,,experimental,ward,,,,,,
Al47Ni3,,0.0,,experimental,ward,,,,,,
Al49Co,,0.0,,experimental,ward,,,,,,
Al49Ni,,0.0,,experimental,ward,,,,,,
Al24Co,,0.0,,experimental,ward,,,,,,
Al48CoNi,,0.0,,experimental,ward,,,,,,
Al24Ni,,0.0,,experimental,ward,,,,,,
Al47Co2Ni,,0.0,,experimental,ward,,,,,,
Al87Co4Ni9,,0.0,,experimental,ward,,,,,,
Al47CoNi2,,0.0,,experimental,ward,,,,,,
Al47Ni3,,0.0,,experimental,ward,,,,,,
Al47Co3,,0.0,,experimental,ward,,,,,,
Al23Co2,,0.0,,experimental,ward,,,,,,
Al46Co3Ni,,0.0,,experimental,ward,,,,,,
Al23CoNi,,0.0,,experimental,ward,,,,,,
Al46CoNi3,,0.0,,experimental,ward,,,,,,
Al91Co2Ni7,,0.0,,experimental,ward,,,,,,
Al89Co5Ni6,,0.0,,experimental,ward,,,,,,
Al89Co4Ni7,,0.0,,experimental,ward,,,,,,
Al89Co3Ni8,,0.0,,experimental,ward,,,,,,
Al89Co6Ni5,,0.0,,experimental,ward,,,,,,
Al44Co5Ni,,0.0,,experimental,ward,,,,,,
Al88Co11Ni,,0.0,,experimental,ward,,,,,,
Al23Ni2,,0.0,,experimental,ward,,,,,,
Al22Co3,,0.0,,experimental,ward,,,,,,
Al89CoNi10,,0.0,,experimental,ward,,,,,,
Al89Co2Ni9,,0.0,,experimental,ward,,,,,,
Al9Ni,,0.0,,experimental,ward,,,,,,
Al88(Co3Ni)3,,0.0,,experimental,ward,,,,,,
Al88Co7Ni5,,0.0,,experimental,ward,,,,,,
Al44CoNi5,,0.0,,experimental,ward,,,,,,
Al22Co2Ni,,0.0,,experimental,ward,,,,,,
Al88CoNi11,,0.0,,experimental,ward,,,,,,
Al22Ni3,,0.0,,experimental,ward,,,,,,
Al9Co,,0.0,,experimental,ward,,,,,,
Al44(CoNi)3,,0.0,,experimental,ward,,,,,,
Al45Co4Ni,,0.0,,experimental,ward,,,,,,
Al45Co3Ni2,,0.0,,experimental,ward,,,,,,
Al18CoNi,,0.0,,experimental,ward,,,,,,
Al45Co2Ni3,,0.0,,experimental,ward,,,,,,
Al45CoNi4,,0.0,,experimental,ward,,,,,,
Al91CoNi8,,0.0,,experimental,ward,,,,,,
Al88(CoNi3)3,,0.0,,experimental,ward,,,,,,
Mg15Al2Zn3,,0.2,,experimental,ward,,,,,,
Mg7AlZn2,,0.2,,experimental,ward,,,,,,
Mg13Al2Zn5,,0.2,,experimental,ward,,,,,,
Mg15AlZn4,,0.2,,experimental,ward,,,,,,
Mg14AlZn5,,0.2,,experimental,ward,,,,,,
Mg13AlZn6,,0.2,,experimental,ward,,,,,,
Mg12AlZn7,,0.2,,experimental,ward,,,,,,
Mg10AlZn9,,0.2,,experimental,ward,,,,,,
Mg3Zn,,0.2,,experimental,ward,,,,,,
Mg7Zn3,,0.2,,experimental,ward,,,,,,
Mg13Zn7,,0.2,,experimental,ward,,,,,,
Mg3Zn2,,0.2,,experimental,ward,,,,,,
Al63Fe12Si25,,0.2,,experimental,ward,,,,,,
Al52Fe23Si25,,0.2,,experimental,ward,,,,,,
AlFe17Si2,,0.2,,experimental,ward,,,,,,
Al88Co5Ni7,,0.2,,experimental,ward,,,,,,
Al22CoNi2,,0.2,,experimental,ward,,,,,,
Al87Co2Ni11,,0.2,,experimental,ward,,,,,,
Al87CoNi12,,0.2,,experimental,ward,,,,,,
Al88Co5Ni7,,0.2,,experimental,ward,,,,,,
Al22CoNi2,,0.2,,experimental,ward,,,,,,
Al87CoNi12,,0.2,,experimental,ward,,,,,,
Zr67Cu33,,0.2,,experimental,ward,,,,,,
Zr65Al7.5Cu27.5,,0.2,,experimental,ward,,,,,,
Zr13Al2Cu5,,0.2,,experimental,ward,,,,,,
Zr12Al3Cu5,,0.2,,experimental,ward,,,,,,
Zr11Al4Cu5,,0.2,,experimental,ward,,,,,,
Zr2Cu3,,0.2,,experimental,ward,,,,,,
Zr11Cu14,,0.2,,experimental,ward,,,,,,
Zr3Cu2,,0.2,,experimental,ward,,,,,,
Zr13AlCu6,,0.2,,experimental,ward,,,,,,
Zr65Al7.5Cu27.5,,0.2,,experimental,ward,,,,,,
Zr13Al2Cu5,,0.2,,experimental,ward,,,,,,
Zr13Al3Cu4,,0.2,,experimental,ward,,,,,,
Zr13Al4Cu3,,0.2,,experimental,ward,,,,,,
Nb2Ni3,,1.0,,experimental,ward,,,,,,
Zr25Cu24Ag,,2.0,,experimental,ward,,,,,,
Zr27Cu23,,2.0,,experimental,ward,,,,,,
Zr27Cu23,,2.0,,experimental,ward,,,,,,
Zr9Cu16,,2.0,,experimental,ward,,,,,,
ZrCu,,2.0,,experimental,ward,,,,,,
Zr21Cu21Ag8,,2.0,,experimental,ward,,,,,,
ZrCu,,2.0,,experimental,ward,,,,,,
Zr12Cu12Ag,,3.0,,experimental,ward,,,,,,
Zr47Al7Cu46,,3.0,,experimental,ward,,,,,,
Zr47Al7Cu46,,3.0,,experimental,ward,,,,,,
Zr43Al7Cu50,,4.0,,experimental,ward,,,,,,
Zr23Cu23Ag4,,4.0,,experimental,ward,,,,,,
Zr11Cu11Ag3,,4.0,,experimental,ward,,,,,,
Zr36Cu57Ag7,,4.0,,experimental,ward,,,,,,
Zr10Cu9Ag,,4.0,,experimental,ward,,,,,,
Zr50Cu43Ag7,,4.0,,experimental,ward,,,,,,
Zr25Cu19Ag6,,4.0,,experimental,ward,,,,,,
Zr48Al7Cu45,,5.0,,experimental,ward,,,,,,
Zr5Cu4Ag,,5.0,,experimental,ward,,,,,,
Zr48Al7Cu45,,5.0,,experimental,ward,,,,,,
Zr18Cu27Ag5,,6.0,,experimental,ward,,,,,,
Zr9Cu9Ag2,,6.0,,experimental,ward,,,,,,
Zr43Al7Cu50,,10.0,,experimental,ward,,,,,,
Zr3Cu2,752.2004062288423,,,md,,710.2963347854786,,876.9129576847183,,0.8099963953786798,0.9442913469650331
Zr48Al7Cu45,822.759812392002,,,md,,807.7697407215722,,961.8584964648164,,0.8398010140685174,0.981780743973324
Zr47Al7Cu46,843.8686809013417,,,md,,833.0563883668367,,957.4834817581154,,0.8700477911506027,0.987187233299195
Zr9Cu9Ag2,738.9970806695984,,,md,,736.0053669646965,,858.320099575089,,0.8574952017656998,0.9959516569372762
ZrCu,763.6613586894258,,,md,,725.4319150875089,,886.5147619469813,,0.8182964866758687,0.9499392719470248
Nb2Ni3,1091.5343048960208,,,md,,1117.8885125932595,,1294.2013978772975,,0.8637670415337056,1.0241441863796936
Ni4P,591.2195121951219,,,md,,617.2202661126114,,721.7670624751868,,0.8551516108201882,1.0439781728802422
Zr5AlCu4,840.4993065187241,,,md,,836.1007979477948,,974.3239951278928,,0.8581342573196564,0.9947667909576897
Zr25Cu24Ag,752.2004062288423,,,md,,725.9079544254428,,885.0238980350505,,0.8202128281926845,0.9650459484125822
Zr6AlCu3,837.1567314132617,,,md,,807.6367154395438,,973.4228971962616,,0.8296874028397834,0.9647377666976611
Zr4Cu,797.8137716428627,,,md,,795.7868816061606,,932.8730699258293,,0.8530494739969627,0.9974594446614674
